week_id,SKU_QTY,0,1,2,3,4,5,6,ID_SKU
0,59692,2468.0,9161.0,10290.0,10987.0,9896.0,9124.0,7766.0,1
1,39839,9161.0,10290.0,10987.0,9896.0,9124.0,7766.0,9868.0,1
2,23897,10290.0,10987.0,9896.0,9124.0,7766.0,9868.0,9623.0,1
3,79348,10987.0,9896.0,9124.0,7766.0,9868.0,9623.0,2783.0,1
4,19894,9896.0,9124.0,7766.0,9868.0,9623.0,2783.0,3231.0,1
5,27272,9124.0,7766.0,9868.0,9623.0,2783.0,3231.0,5328.0,1
6,29263,7766.0,9868.0,9623.0,2783.0,3231.0,5328.0,5124.0,1
7,26739,9868.0,9623.0,2783.0,3231.0,5328.0,5124.0,3882.0,1
8,27986,9623.0,2783.0,3231.0,5328.0,5124.0,3882.0,10311.0,1
9,28652,2783.0,3231.0,5328.0,5124.0,3882.0,10311.0,13321.0,1
10,105331,3231.0,5328.0,5124.0,3882.0,10311.0,13321.0,14151.0,1
11,30236,5328.0,5124.0,3882.0,10311.0,13321.0,14151.0,15559.0,1
12,29961,5124.0,3882.0,10311.0,13321.0,14151.0,15559.0,21554.0,1
13,26411,3882.0,10311.0,13321.0,14151.0,15559.0,21554.0,19118.0,1
14,28148,10311.0,13321.0,14151.0,15559.0,21554.0,19118.0,11317.0,1
15,39390,13321.0,14151.0,15559.0,21554.0,19118.0,11317.0,2730.0,1
16,36904,14151.0,15559.0,21554.0,19118.0,11317.0,2730.0,2949.0,1
17,35817,15559.0,21554.0,19118.0,11317.0,2730.0,2949.0,3317.0,1
18,182577,21554.0,19118.0,11317.0,2730.0,2949.0,3317.0,4020.0,1
19,177007,19118.0,11317.0,2730.0,2949.0,3317.0,4020.0,5868.0,1
20,149328,11317.0,2730.0,2949.0,3317.0,4020.0,5868.0,6442.0,1
21,36999,2730.0,2949.0,3317.0,4020.0,5868.0,6442.0,4910.0,1
22,57428,2949.0,3317.0,4020.0,5868.0,6442.0,4910.0,3778.0,1
23,205089,3317.0,4020.0,5868.0,6442.0,4910.0,3778.0,3658.0,1
24,208953,4020.0,5868.0,6442.0,4910.0,3778.0,3658.0,3798.0,1
25,53247,5868.0,6442.0,4910.0,3778.0,3658.0,3798.0,3576.0,1
26,125266,6442.0,4910.0,3778.0,3658.0,3798.0,3576.0,5133.0,1
27,55735,4910.0,3778.0,3658.0,3798.0,3576.0,5133.0,5521.0,1
28,61483,3778.0,3658.0,3798.0,3576.0,5133.0,5521.0,4497.0,1
29,151412,3658.0,3798.0,3576.0,5133.0,5521.0,4497.0,2332.0,1
30,36041,3798.0,3576.0,5133.0,5521.0,4497.0,2332.0,2369.0,1
31,43728,3576.0,5133.0,5521.0,4497.0,2332.0,2369.0,3429.0,1
32,33085,5133.0,5521.0,4497.0,2332.0,2369.0,3429.0,3475.0,1
33,37532,5521.0,4497.0,2332.0,2369.0,3429.0,3475.0,4721.0,1
34,36589,4497.0,2332.0,2369.0,3429.0,3475.0,4721.0,5332.0,1
35,120298,2332.0,2369.0,3429.0,3475.0,4721.0,5332.0,4753.0,1
36,42258,2369.0,3429.0,3475.0,4721.0,5332.0,4753.0,3318.0,1
37,26902,3429.0,3475.0,4721.0,5332.0,4753.0,3318.0,3466.0,1
38,62837,3475.0,4721.0,5332.0,4753.0,3318.0,3466.0,2342.0,1
39,29089,4721.0,5332.0,4753.0,3318.0,3466.0,2342.0,3651.0,1
40,27346,5332.0,4753.0,3318.0,3466.0,2342.0,3651.0,4665.0,1
41,122410,4753.0,3318.0,3466.0,2342.0,3651.0,4665.0,5922.0,1
42,105926,3318.0,3466.0,2342.0,3651.0,4665.0,5922.0,4784.0,1
43,29141,3466.0,2342.0,3651.0,4665.0,5922.0,4784.0,4707.0,1
44,26899,2342.0,3651.0,4665.0,5922.0,4784.0,4707.0,4668.0,1
45,24600,3651.0,4665.0,5922.0,4784.0,4707.0,4668.0,5038.0,1
46,24423,4665.0,5922.0,4784.0,4707.0,4668.0,5038.0,4836.0,1
47,19665,5922.0,4784.0,4707.0,4668.0,5038.0,4836.0,6603.0,1
48,21406,4784.0,4707.0,4668.0,5038.0,4836.0,6603.0,6889.0,1
49,52631,4707.0,4668.0,5038.0,4836.0,6603.0,6889.0,6649.0,1
50,20261,4668.0,5038.0,4836.0,6603.0,6889.0,6649.0,3556.0,1
51,16724,5038.0,4836.0,6603.0,6889.0,6649.0,3556.0,3773.0,1
