week_id,SKU_QTY,0,1,2,3,4,5,6,ID_SKU
0,52420,6229.0,6841.0,4871.0,7207.0,8153.0,9370.0,9749.0,2536564
1,51747,6841.0,4871.0,7207.0,8153.0,9370.0,9749.0,9767.0,2536564
2,34144,4871.0,7207.0,8153.0,9370.0,9749.0,9767.0,9805.0,2536564
3,26298,7207.0,8153.0,9370.0,9749.0,9767.0,9805.0,4888.0,2536564
4,47141,8153.0,9370.0,9749.0,9767.0,9805.0,4888.0,6014.0,2536564
5,32164,9370.0,9749.0,9767.0,9805.0,4888.0,6014.0,7648.0,2536564
6,36676,9749.0,9767.0,9805.0,4888.0,6014.0,7648.0,7550.0,2536564
7,29476,9767.0,9805.0,4888.0,6014.0,7648.0,7550.0,6075.0,2536564
8,35390,9805.0,4888.0,6014.0,7648.0,7550.0,6075.0,4698.0,2536564
9,40713,4888.0,6014.0,7648.0,7550.0,6075.0,4698.0,5082.0,2536564
10,40726,6014.0,7648.0,7550.0,6075.0,4698.0,5082.0,5605.0,2536564
11,40781,7648.0,7550.0,6075.0,4698.0,5082.0,5605.0,5753.0,2536564
12,42194,7550.0,6075.0,4698.0,5082.0,5605.0,5753.0,7063.0,2536564
13,43555,6075.0,4698.0,5082.0,5605.0,5753.0,7063.0,7015.0,2536564
14,59775,4698.0,5082.0,5605.0,5753.0,7063.0,7015.0,5510.0,2536564
15,45127,5082.0,5605.0,5753.0,7063.0,7015.0,5510.0,4704.0,2536564
16,44726,5605.0,5753.0,7063.0,7015.0,5510.0,4704.0,5121.0,2536564
17,45439,5753.0,7063.0,7015.0,5510.0,4704.0,5121.0,5054.0,2536564
18,70945,7063.0,7015.0,5510.0,4704.0,5121.0,5054.0,5709.0,2536564
19,37188,7015.0,5510.0,4704.0,5121.0,5054.0,5709.0,7189.0,2536564
20,52782,5510.0,4704.0,5121.0,5054.0,5709.0,7189.0,6818.0,2536564
21,35245,4704.0,5121.0,5054.0,5709.0,7189.0,6818.0,6186.0,2536564
22,33939,5121.0,5054.0,5709.0,7189.0,6818.0,6186.0,4819.0,2536564
23,35557,5054.0,5709.0,7189.0,6818.0,6186.0,4819.0,4723.0,2536564
24,43429,5709.0,7189.0,6818.0,6186.0,4819.0,4723.0,5080.0,2536564
25,30548,7189.0,6818.0,6186.0,4819.0,4723.0,5080.0,5854.0,2536564
26,27586,6818.0,6186.0,4819.0,4723.0,5080.0,5854.0,7552.0,2536564
27,27467,6186.0,4819.0,4723.0,5080.0,5854.0,7552.0,8097.0,2536564
28,27105,4819.0,4723.0,5080.0,5854.0,7552.0,8097.0,6069.0,2536564
29,29233,4723.0,5080.0,5854.0,7552.0,8097.0,6069.0,4300.0,2536564
30,25499,5080.0,5854.0,7552.0,8097.0,6069.0,4300.0,4174.0,2536564
31,25039,5854.0,7552.0,8097.0,6069.0,4300.0,4174.0,5508.0,2536564
32,21228,7552.0,8097.0,6069.0,4300.0,4174.0,5508.0,5700.0,2536564
33,30560,8097.0,6069.0,4300.0,4174.0,5508.0,5700.0,8128.0,2536564
34,28007,6069.0,4300.0,4174.0,5508.0,5700.0,8128.0,8160.0,2536564
35,55972,4300.0,4174.0,5508.0,5700.0,8128.0,8160.0,7585.0,2536564
36,53984,4174.0,5508.0,5700.0,8128.0,8160.0,7585.0,7889.0,2536564
37,40338,5508.0,5700.0,8128.0,8160.0,7585.0,7889.0,9499.0,2536564
38,29882,5700.0,8128.0,8160.0,7585.0,7889.0,9499.0,6570.0,2536564
39,31962,8128.0,8160.0,7585.0,7889.0,9499.0,6570.0,9506.0,2536564
40,35443,8160.0,7585.0,7889.0,9499.0,6570.0,9506.0,11103.0,2536564
41,38305,7585.0,7889.0,9499.0,6570.0,9506.0,11103.0,8673.0,2536564
42,39770,7889.0,9499.0,6570.0,9506.0,11103.0,8673.0,6535.0,2536564
43,41236,9499.0,6570.0,9506.0,11103.0,8673.0,6535.0,4843.0,2536564
44,42520,6570.0,9506.0,11103.0,8673.0,6535.0,4843.0,5344.0,2536564
45,48105,9506.0,11103.0,8673.0,6535.0,4843.0,5344.0,6151.0,2536564
46,49354,11103.0,8673.0,6535.0,4843.0,5344.0,6151.0,5866.0,2536564
47,43886,8673.0,6535.0,4843.0,5344.0,6151.0,5866.0,7881.0,2536564
48,44802,6535.0,4843.0,5344.0,6151.0,5866.0,7881.0,7938.0,2536564
49,49140,4843.0,5344.0,6151.0,5866.0,7881.0,7938.0,7104.0,2536564
50,45332,5344.0,6151.0,5866.0,7881.0,7938.0,7104.0,4844.0,2536564
51,39275,6151.0,5866.0,7881.0,7938.0,7104.0,4844.0,4806.0,2536564
